"customer_id","customer_name","segment"
SC-200501,Sample Company A,Home Office
KB-162401,Karen Bern,Corporate
EM-38252,Elizabeth Moffitt,Corporate
VP-217303,Victor Preis,Home Office
JE-156103,Jim Epp,Corporate
MF-82502,Monica Federle,Corporate
KC-62552,Karen Carlisle,Corporate
JM-156554,Jim Mitchum,Corporate
SL-201552,Sara Luxemburg,Home Office
MK-79053,Michael Kennedy,Corporate
LS-69752,Lindsay Shagiari,Home Office
LW-168254,Laurel Workman,Corporate
DK-128353,Damala Kotsonis,Corporate
LR-70352,Lisa Ryan,Corporate
MC-174252,Mark Cousins,Corporate
KN-163901,Katherine Nockton,Corporate
KE-164203,Katrina Edelman,Corporate
KH-166902,Kristen Hastings,Corporate
ME-173203,Maria Etezadi,Home Office
MG-178901,Michael Granlund,Home Office
MS-179801,Michael Stewart,Corporate
AH-100751,Adam Hart,Corporate
CR-126253,Corey Roper,Home Office
GM-146954,Greg Maxwell,Corporate
RW-195404,Rick Wilson,Corporate
CH-120704,Cathy Hwang,Home Office
BF-10052,Barry Franz,Home Office
BS-18001,Bryan Spruell,Home Office
EA-40351,Erin Ashbrook,Corporate
DB-132703,Deborah Brumfield,Home Office
CM-126554,Corinna Mitchell,Home Office
AO-108101,Anthony O'Donnell,Corporate
PC-190002,Pauline Chand,Home Office
LW-69902,Lindsay Williams,Corporate
VG-218054,Vivek Grady,Corporate
KB-65851,Ken Black,Corporate
DW-135851,Dorothy Wardle,Corporate
MC-175903,Matt Collister,Corporate
GM-44551,Gary Mitchum,Home Office
HE-148004,Harold Engle,Corporate
AC-104203,Alyssa Crouse,Corporate
SM-103202,Sean Miller,Home Office
SW-207554,Steven Ward,Corporate
MH-77851,Maya Herman,Corporate
BP-110954,Bart Pistole,Corporate
NH-186101,Nicole Hansen,Corporate
PV-189853,Paul Van Hugh,Home Office
JK-161203,Julie Kriz,Home Office
BT-113054,Beth Thompson,Home Office
RP-98552,Roy Phan,Corporate
HW-49352,Helen Wasserman,Corporate
JS-156851,Jim Sink,Corporate
HK-148902,Heather Kirkland,Corporate
MH-181151,Mick Hernandez,Home Office
JL-151752,James Lanier,Home Office
KF-62852,Karen Ferguson,Home Office
PW-190304,Pauline Webber,Corporate
JG-153101,Jason Gross,Corporate
KB-166003,Ken Brennan,Corporate
